,Unnamed: 0,Infix_Eq,Prefix_Eq,Working,Infix_Sol,Prefix_Sol,tmp,dreamcoder_steps,dreamcoder_metrics,dreamcoder_cscores
21,,,,,,,,(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4))|(= (+ (+ (* (3) (x)) (* (1) (x))) (2)) (4))|(= (+ (* (4) (x)) (2)) (4))|(= (x) (/ (1) (2))),9,29.7
31,,,,,,,,(= (1) (+ (/ (-2) (x)) (3)))|0|(= (x) (1)),5,37.86842105263158
33,,,,,,,,(= (* (-1) (x)) (-2))|(= (* (-1) (x)) (-2))|(= (x) (2)),3,11.75
37,,,,,,,,(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4)))|(= (+ (- (* (-3) (x)) (* (-2) (x))) (-4)) (1))|(= (+ (* (-1) (x)) (-4)) (1))|(= (x) (-5)),12,35.666666666666664
42,,,,,,,,(= (1) (+ (* (-2) (x)) (-3)))|(= (+ (* (-2) (x)) (-3)) (1))|(= (x) (-2)),8,24.68
50,,,,,,,,(= (+ (/ (1) (x)) (2)) (-3))|3|(= (x) (/ (-1) (5))),6,39.85
51,,,,,,,,(= (- (* (1) (x)) (2)) (-3))|(= (+ (- (* (1) (x)) (2)) (2)) (+ (-3) (2)))|(= (x) (-1)),8,11.333333333333334
54,,,,,,,,(= (x) (/ (1) (2)))|(= (x) (/ (1) (2))),1,1.5
59,,,,,,,,(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x))))|(= (+ (- (* (-2) (x)) (* (-4) (x))) (-1)) (3))|(= (+ (* (2) (x)) (-1)) (3))|(= (x) (2)),12,43.72727272727273
62,,,,,,,,(= (+ (/ (1) (x)) (-2)) (-3))|3|(= (x) (-1)),5,37.86842105263158
64,,,,,,,,(= (- (* (1) (x)) (* (-2) (x))) (-3))|(= (* (- (1) (-2)) (x)) (-3))|(= (x) (-1)),6,17.666666666666668
68,,,,,,,,(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (4)))|(= (+ (- (* (3) (x)) (* (-1) (x))) (4)) (-2))|(= (+ (* (4) (x)) (4)) (-2))|(= (x) (/ (-3) (2))),12,40.707317073170735
74,,,,,,,,(= (+ (-1) (/ (-2) (x))) (3))|1|(= (x) (/ (-1) (2))),6,45.869565217391305
75,,,,,,,,(= (-1) (/ (* (-2) (x)) (-3)))|(= (/ (* (-2) (x)) (/ (-3) (-3))) (* (-1) (-3)))|(= (x) (/ (-3) (2))),12,20.428571428571427
78,,,,,,,,(= (-1) (+ (/ (-2) (x)) (3)))|0|(= (x) (/ (1) (2))),6,36.83783783783784
86,,,,,,,,(= (+ (* (-1) (x)) (* (2) (x))) (-3))|(= (x) (-3)),6,7.25
88,,,,,,,,(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4)))|(= (+ (x) (3)) (+ (5) (* (3) (x))))|(= (+ (- (* (3) (x)) (* (x) (1))) (5)) (3))|(= (+ (* (2) (x)) (5)) (3))|(= (x) (-1)),16,31.5
89,,,,,,,,(= (1) (/ (* (2) (x)) (3)))|(= (/ (* (2) (x)) (/ (3) (3))) (* (1) (3)))|(= (x) (/ (3) (2))),12,20.428571428571427
91,,,,,,,,(= (/ (* (-1) (x)) (x)) (* (-2) (x)))|(= (* (-2) (x)) (-1))|(= (x) (/ (1) (2))),4,17.77777777777778
94,,,,,,,,(= (-1) (* (-2) (x)))|(= (* (-2) (x)) (-1))|(= (x) (/ (1) (2))),4,11.666666666666666
97,,,,,,,,(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4)))|(= (+ (- (* (-3) (x)) (* (-1) (x))) (-4)) (-2))|(= (+ (* (-2) (x)) (-4)) (-2))|(= (x) (-1)),12,35.666666666666664
103,,,,,,,,(= (* (-1) (x)) (- (+ (-2) (* (-3) (x))) (4)))|(= (+ (- (* (-1) (x)) (* (-3) (x))) (6)) (- (- (* (-3) (x)) (6)) (- (* (-3) (x)) (6))))|(= (+ (* (2) (x)) (6)) (- (- (* (-3) (x)) (6)) (- (* (-3) (x)) (6))))|(= (x) (-3)),20,27.285714285714285
105,,,,,,,,(= (-1) (+ (/ (2) (x)) (3)))|0|(= (x) (/ (-1) (2))),6,36.83783783783784
118,,,,,,,,(= (+ (-1) (/ (-2) (x))) (-3))|1|(= (x) (1)),5,44.888888888888886
119,,,,,,,,(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x))))|(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x))))|(= (+ (- (* (-4) (x)) (* (x) (1))) (3)) (2))|(= (+ (* (-5) (x)) (3)) (2))|(= (x) (/ (1) (5))),13,37.6578947368421
123,,,,,,,,(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4)))|(= (+ (- (* (2) (x)) (* (3) (x))) (1)) (4))|(= (+ (* (-1) (x)) (1)) (4))|(= (x) (-3)),12,29.6
131,,,,,,,,(= (* (1) (x)) (+ (2) (* (3) (x))))|(= (* (x) (1)) (+ (2) (* (3) (x))))|(= (+ (- (* (3) (x)) (* (x) (1))) (2)) (0))|(= (+ (* (2) (x)) (2)) (0))|(= (x) (-1)),15,24.4
133,,,,,,,,(= (/ (1) (x)) (-2))|0|(= (x) (/ (-1) (2))),4,29.866666666666667
134,,,,,,,,(= (1) (- (2) (/ (3) (x))))|(= (x) (3)),4,71.94444444444444
135,,,,,,,,(= (+ (* (-1) (x)) (2)) (+ (-3) (* (-4) (x))))|(= (+ (- (* (-4) (x)) (* (-1) (x))) (-3)) (2))|(= (+ (* (-3) (x)) (-3)) (2))|(= (x) (/ (-5) (3))),12,33.64705882352941
137,,,,,,,,(= (1) (+ (-2) (/ (3) (x))))|1|(= (x) (1)),5,39.875
139,,,,,,,,(= (-1) (x))|(= (-1) (x))|(= (x) (-1)),2,1.0
140,,,,,,,,(= (- (* (-1) (x)) (2)) (- (3) (* (4) (x))))|(= (* (+ (-1) (4)) (x)) (5))|(= (x) (/ (5) (3))),8,40.80487804878049
141,,,,,,,,(= (+ (* (-1) (x)) (2)) (- (* (-3) (x)) (4)))|(= (+ (- (* (-3) (x)) (* (-1) (x))) (-4)) (2))|(= (+ (* (-2) (x)) (-4)) (2))|(= (x) (-3)),12,34.65714285714286
157,,,,,,,,(= (* (-1) (x)) (+ (-2) (* (3) (x))))|(= (* (- (-1) (3)) (x)) (-2))|(= (x) (/ (1) (2))),8,23.666666666666668
166,,,,,,,,(= (* (-1) (x)) (- (-2) (3)))|(= (* (-1) (x)) (- (-2) (3)))|(= (x) (5)),3,13.785714285714286
169,,,,,,,,(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x))))|(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x))))|(= (+ (- (* (-4) (x)) (* (x) (1))) (-3)) (-2))|(= (+ (* (-5) (x)) (-3)) (-2))|(= (x) (/ (-1) (5))),13,37.6578947368421
170,,,,,,,,(= (+ (1) (* (-2) (x))) (+ (3) (* (-4) (x))))|(= (+ (- (* (-2) (x)) (* (-4) (x))) (1)) (3))|(= (+ (* (2) (x)) (1)) (3))|(= (x) (1)),12,43.72727272727273
171,,,,,,,,(= (- (1) (2)) (* (-3) (x)))|(= (* (-3) (x)) (-1))|(= (x) (/ (1) (3))),4,14.733333333333333
173,,,,,,,,(= (- (* (-1) (x)) (2)) (+ (3) (* (4) (x))))|(= (+ (- (* (-1) (x)) (* (4) (x))) (-2)) (3))|(= (+ (* (-5) (x)) (-2)) (3))|(= (x) (-1)),12,42.72093023255814
177,,,,,,,,(= (1) (+ (+ (* (-2) (x)) (3)) (* (4) (x))))|(= (+ (+ (* (4) (x)) (* (-2) (x))) (3)) (1))|(= (+ (* (2) (x)) (3)) (1))|(= (x) (-1)),16,34.542857142857144
186,,,,,,,,(= (+ (* (1) (x)) (2)) (+ (-3) (* (4) (x))))|(= (+ (* (1) (x)) (2)) (+ (-3) (* (4) (x))))|(= (+ (- (* (4) (x)) (* (x) (1))) (-3)) (2))|(= (+ (* (3) (x)) (-3)) (2))|(= (x) (/ (5) (3))),13,33.61764705882353
187,,,,,,,,(= (+ (-1) (/ (2) (x))) (-3))|1|(= (x) (-1)),5,46.8936170212766
197,,,,,,,,(= (-1) (- (+ (* (2) (x)) (* (3) (x))) (4)))|(= (- (* (5) (x)) (- (4) (4))) (+ (-1) (4)))|(= (x) (/ (3) (5))),12,32.63636363636363
